05-27 15:40:29.441 15673 15695 I TestRunner: started: testAllScenarios(com.example.gemininano.LlmPromptTest)
05-27 15:40:29.452 30890 15700 E DocumentManagerRoleBehavior: There should be exactly one documenter; found 2: matches=[com.android.documentsui, com.android.car.frameworkpackagestubs]
05-27 15:40:29.453 15673 15695 D TEST_REPORT: Loading model...
05-27 15:40:29.500 15500 15501 I AidlLazyServiceRegistrar: Process has 0 (of 1 available) client(s) in use after notification artd has clients: 0
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Trying to shut down the service. No clients in use for any service in process.
05-27 15:40:29.501 15500 15501 I AidlLazyServiceRegistrar: Unregistered all clients and exiting
05-27 15:40:29.856 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.858 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.859 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.865 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.867 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.868 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.874 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.958 15673 15701 I tflite  : XNNPack weight cache: written to '/data/user/10/com.example.gemininano/cache/SmolLM-135M-Instruct.task.xnnpack_cache_1779892816_166754726'.
05-27 15:40:29.962 15673 15701 I tflite  : Replacing 1151 out of 1289 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 179 partitions for subgraph 1.
05-27 15:40:29.974 15673 15701 I tflite  : Replacing 1151 out of 1289 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 179 partitions for subgraph 2.
05-27 15:40:29.986 15673 15701 I tflite  : Replacing 1151 out of 1289 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 179 partitions for subgraph 3.
05-27 15:40:29.998 15673 15701 I tflite  : Replacing 1151 out of 1289 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 179 partitions for subgraph 4.
05-27 15:40:30.010 15673 15701 I tflite  : Replacing 1151 out of 1289 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 179 partitions for subgraph 5.
05-27 15:40:30.022 15673 15701 I tflite  : Replacing 1151 out of 1289 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 179 partitions for subgraph 6.
05-27 15:40:30.030 15673 15701 I tflite  : Replacing 7 out of 7 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for subgraph 7.
05-27 15:40:30.030 15673 15701 I tflite  : Replacing 17 out of 19 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 3 partitions for subgraph 8.
05-27 15:40:30.030 15673 15701 I tflite  : Replacing 7 out of 7 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for subgraph 9.
05-27 15:40:30.031 15673 15701 I tflite  : Replacing 7 out of 7 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for subgraph 10.
05-27 15:40:30.031 15673 15701 I tflite  : Replacing 17 out of 19 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 3 partitions for subgraph 11.
05-27 15:40:30.031 15673 15701 I tflite  : Replacing 7 out of 7 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for subgraph 12.
05-27 15:40:30.031 15673 15701 I tflite  : Replacing 7 out of 7 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for subgraph 13.
05-27 15:40:30.031 15673 15701 I tflite  : Replacing 17 out of 19 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 3 partitions for subgraph 14.
05-27 15:40:30.031 15673 15701 I tflite  : Replacing 7 out of 7 node(s) with delegate (TfLiteXNNPackDelegate) node, yielding 1 partitions for subgraph 15.
